,Unnamed: 0,Random_Id,data,date_iso8601,event_color,event_date,event_name,formatted_date,instance_question_id,instructor_question_number,qid,question_id,student_question_number,submission_id,variant_id,variant_number
11,11,17,,2021-02-06T21:36:32-08,green3,2021-02-07T05:36:32.357Z,View variant,2021-02-06 21:36:32 (PST),252140.0,2.0,PLEDGE,1046.0,2.0,,172306.0,1.0
12,12,17,"{'params': {'0': [{'key': 'a', 'html': 'past and future'}, {'key': 'b', 'html': 'here and there'}, {'key': 'c', 'html': 'this and that'}, {'key': 'd', 'html': 'today or tomorrow'}, {'key': 'e', 'html': 'True and False (select this one)'}]}, 'options': {}, 'true_answer': {'0': {'key': 'e', 'html': 'True and False (select this one)'}}, 'variant_seed': '1o7wx7g'}",2021-02-06T21:36:38-08,gray1,2021-02-07T05:36:38.753Z,New variant,2021-02-06 21:36:38 (PST),252141.0,3.0,PL-demo/demo-multiple-choice,1049.0,3.0,,172309.0,1.0
13,13,17,,2021-02-06T21:36:38-08,green3,2021-02-07T05:36:38.800Z,View variant,2021-02-06 21:36:38 (PST),252141.0,3.0,PL-demo/demo-multiple-choice,1049.0,3.0,,172309.0,1.0
14,14,17,"{'correct': True, 'submitted_answer': {'0': 'e'}}",2021-02-06T21:36:45-08,blue3,2021-02-07T05:36:45.139Z,Submission,2021-02-06 21:36:45 (PST),252141.0,3.0,PL-demo/demo-multiple-choice,1049.0,3.0,310817.0,172309.0,1.0
15,15,17,,2021-02-06T21:36:45-08,green3,2021-02-07T05:36:45.263Z,View variant,2021-02-06 21:36:45 (PST),252141.0,3.0,PL-demo/demo-multiple-choice,1049.0,3.0,,172309.0,1.0
16,16,17,"{'params': {'0': [{'key': 'a', 'html': 'Incorrect'}, {'key': 'b', 'html': 'Incorrect'}, {'key': 'c', 'html': 'Incorrect'}, {'key': 'd', 'html': 'Correct'}, {'key': 'e', 'html': 'Incorrect'}]}, 'options': {}, 'true_answer': {'0': [{'key': 'd', 'html': 'Correct'}]}, 'variant_seed': '5z4hi9'}",2021-02-06T21:36:50-08,gray1,2021-02-07T05:36:50.711Z,New variant,2021-02-06 21:36:50 (PST),252142.0,4.0,PL-demo/demo-checkbox,1048.0,4.0,,172310.0,1.0
17,17,17,,2021-02-06T21:36:50-08,green3,2021-02-07T05:36:50.758Z,View variant,2021-02-06 21:36:50 (PST),252142.0,4.0,PL-demo/demo-checkbox,1048.0,4.0,,172310.0,1.0
18,18,17,"{'correct': True, 'submitted_answer': {'0': 'd'}}",2021-02-06T21:36:58-08,blue3,2021-02-07T05:36:58.347Z,Submission,2021-02-06 21:36:58 (PST),252142.0,4.0,PL-demo/demo-checkbox,1048.0,4.0,310819.0,172310.0,1.0
19,19,17,,2021-02-06T21:36:58-08,green3,2021-02-07T05:36:58.469Z,View variant,2021-02-06 21:36:58 (PST),252142.0,4.0,PL-demo/demo-checkbox,1048.0,4.0,,172310.0,1.0
20,20,17,"{'params': {}, 'options': {}, 'true_answer': {'ok': 'ok'}, 'variant_seed': 'ckxscj'}",2021-02-06T21:37:03-08,gray1,2021-02-07T05:37:03.382Z,New variant,2021-02-06 21:37:03 (PST),252143.0,5.0,PL-demo/demo-fill-in-blank,1051.0,5.0,,172312.0,1.0
21,21,17,,2021-02-06T21:37:03-08,green3,2021-02-07T05:37:03.418Z,View variant,2021-02-06 21:37:03 (PST),252143.0,5.0,PL-demo/demo-fill-in-blank,1051.0,5.0,,172312.0,1.0
22,22,17,"{'correct': True, 'submitted_answer': {'ok': 'Ok'}}",2021-02-06T21:37:09-08,blue3,2021-02-07T05:37:09.578Z,Submission,2021-02-06 21:37:09 (PST),252143.0,5.0,PL-demo/demo-fill-in-blank,1051.0,5.0,310822.0,172312.0,1.0
23,23,17,,2021-02-06T21:37:09-08,green3,2021-02-07T05:37:09.692Z,View variant,2021-02-06 21:37:09 (PST),252143.0,5.0,PL-demo/demo-fill-in-blank,1051.0,5.0,,172312.0,1.0
24,24,17,,2021-02-06T21:37:15-08,green1,2021-02-07T05:37:15.986Z,View assessment overview,2021-02-06 21:37:15 (PST),,,,,,,,
25,25,17,,2021-02-06T21:37:20-08,green3,2021-02-07T05:37:20.791Z,View variant,2021-02-06 21:37:20 (PST),252140.0,2.0,PLEDGE,1046.0,2.0,,172306.0,1.0
26,26,17,"{'correct': True, 'submitted_answer': {'pledge': 'Sharon Vaz'}}",2021-02-06T21:37:27-08,blue3,2021-02-07T05:37:27.669Z,Submission,2021-02-06 21:37:27 (PST),252140.0,2.0,PLEDGE,1046.0,2.0,310824.0,172306.0,1.0
27,27,17,,2021-02-06T21:37:27-08,green3,2021-02-07T05:37:27.817Z,View variant,2021-02-06 21:37:27 (PST),252140.0,2.0,PLEDGE,1046.0,2.0,,172306.0,1.0
28,28,17,,2021-02-06T21:37:32-08,green1,2021-02-07T05:37:32.066Z,View assessment overview,2021-02-06 21:37:32 (PST),,,,,,,,
29,29,17,"{'points': 0, 'correct': True, 'max_points': 0, 'score_perc': 0}",2021-02-06T21:37:50-08,brown1,2021-02-07T05:37:50.531Z,Score question,2021-02-06 21:37:50 (PST),252139.0,1.0,PL-demo/DIRECTIONS,1050.0,1.0,,172304.0,1.0
30,30,17,"{'points': 0, 'correct': True, 'max_points': 0, 'score_perc': 0}",2021-02-06T21:37:50-08,brown1,2021-02-07T05:37:50.531Z,Score question,2021-02-06 21:37:50 (PST),252140.0,2.0,PLEDGE,1046.0,2.0,,172306.0,1.0
31,31,17,"{'points': 1, 'correct': True, 'max_points': 1, 'score_perc': 100}",2021-02-06T21:37:50-08,brown1,2021-02-07T05:37:50.531Z,Score question,2021-02-06 21:37:50 (PST),252141.0,3.0,PL-demo/demo-multiple-choice,1049.0,3.0,,172309.0,1.0
32,32,17,"{'points': 1, 'correct': True, 'max_points': 1, 'score_perc': 100}",2021-02-06T21:37:50-08,brown1,2021-02-07T05:37:50.531Z,Score question,2021-02-06 21:37:50 (PST),252142.0,4.0,PL-demo/demo-checkbox,1048.0,4.0,,172310.0,1.0
33,33,17,"{'points': 1, 'correct': True, 'max_points': 1, 'score_perc': 100}",2021-02-06T21:37:50-08,brown1,2021-02-07T05:37:50.531Z,Score question,2021-02-06 21:37:50 (PST),252143.0,5.0,PL-demo/demo-fill-in-blank,1051.0,5.0,,172312.0,1.0
34,34,17,"{'points': 0, 'max_points': 3, 'score_perc': 0}",2021-02-06T21:37:50-08,brown3,2021-02-07T05:37:50.531Z,Score assessment,2021-02-06 21:37:50 (PST),,,,,,,,
35,35,17,"{'points': 0, 'max_points': 3, 'score_perc': 0}",2021-02-06T21:37:50-08,brown3,2021-02-07T05:37:50.531Z,Score assessment,2021-02-06 21:37:50 (PST),,,,,,,,
36,36,17,"{'points': 1, 'max_points': 3, 'score_perc': 33.3333333333333}",2021-02-06T21:37:50-08,brown3,2021-02-07T05:37:50.531Z,Score assessment,2021-02-06 21:37:50 (PST),,,,,,,,
37,37,17,"{'points': 2, 'max_points': 3, 'score_perc': 66.6666666666667}",2021-02-06T21:37:50-08,brown3,2021-02-07T05:37:50.531Z,Score assessment,2021-02-06 21:37:50 (PST),,,,,,,,
38,38,17,"{'points': 3, 'max_points': 3, 'score_perc': 100}",2021-02-06T21:37:50-08,brown3,2021-02-07T05:37:50.531Z,Score assessment,2021-02-06 21:37:50 (PST),,,,,,,,
39,39,17,,2021-02-06T21:37:50-08,gray3,2021-02-07T05:37:50.531Z,Close,2021-02-06 21:37:50 (PST),,,,,,,,
40,40,17,,2021-02-06T21:37:50-08,green1,2021-02-07T05:37:50.707Z,View assessment overview,2021-02-06 21:37:50 (PST),,,,,,,,
